PASS,PASS_BRD_DEP,BE,NL	: 
PASS,PASS_BRD_DEP,BE,PL	: 
PASS,PASS_BRD_DEP,BE,PT	586933
PASS,PASS_BRD_DEP,BE,RO	: 
PASS,PASS_BRD_DEP,BE,SE	: 
PASS,PASS_BRD_DEP,BE,SI	46556
PASS,PASS_BRD_DEP,BE,SK	28309
PASS,PASS_BRD_DEP,BE,UK	702064
PASS,PASS_BRD_DEP,BG,AT	: 
PASS,PASS_BRD_DEP,BG,BE	87402
PASS,PASS_BRD_DEP,BG,CY	31784
PASS,PASS_BRD_DEP,BG,CZ	: 
PASS,PASS_BRD_DEP,BG,DE	: 
PASS,PASS_BRD_DEP,BG,DK	33990
PASS,PASS_BRD_DEP,BG,EA	: 
PASS,PASS_BRD_DEP,BG,EE	: 
PASS,PASS_BRD_DEP,BG,EL	54392
PASS,PASS_BRD_DEP,BG,ES	141308
PASS,PASS_BRD_DEP,BG,EU25	: 
PASS,PASS_BRD_DEP,BG,EU27	: 
PASS,PASS_BRD_DEP,BG,EU28	: 
PASS,PASS_BRD_DEP,BG,FI	18960
PASS,PASS_BRD_DEP,BG,FR	102614
PASS,PASS_BRD_DEP,BG,HR	595
PASS,PASS_BRD_DEP,BG,HU	: 
PASS,PASS_BRD_DEP,BG,IE	: 
PASS,PASS_BRD_DEP,BG,IT	: 
PASS,PASS_BRD_DEP,BG,LT	17280
PASS,PASS_BRD_DEP,BG,LU	11562
PASS,PASS_BRD_DEP,BG,LV	14586
PASS,PASS_BRD_DEP,BG,MT	7597
PASS,PASS_BRD_DEP,BG,NL	: 
PASS,PASS_BRD_DEP,BG,PL	: 
PASS,PASS_BRD_DEP,BG,PT	339
PASS,PASS_BRD_DEP,BG,RO	: 
PASS,PASS_BRD_DEP,BG,SE	: 
PASS,PASS_BRD_DEP,BG,SI	595
PASS,PASS_BRD_DEP,BG,SK	34496
PASS,PASS_BRD_DEP,BG,UK	492776
PASS,PASS_BRD_DEP,CY,AT	: 
PASS,PASS_BRD_DEP,CY,BE	25445
PASS,PASS_BRD_DEP,CY,BG	32197
PASS,PASS_BRD_DEP,CY,CZ	: 
PASS,PASS_BRD_DEP,CY,DE	: 
PASS,PASS_BRD_DEP,CY,DK	31814
PASS,PASS_BRD_DEP,CY,EA	: 
PASS,PASS_BRD_DEP,CY,EE	: 
PASS,PASS_BRD_DEP,CY,EL	570863
PASS,PASS_BRD_DEP,CY,ES	4921
PASS,PASS_BRD_DEP,CY,EU15	: 
PASS,PASS_BRD_DEP,CY,EU25	: 
PASS,PASS_BRD_DEP,CY,EU27	: 
PASS,PASS_BRD_DEP,CY,EU28	: 
PASS,PASS_BRD_DEP,CY,FI	23290
PASS,PASS_BRD_DEP,CY,FR	51756
PASS,PASS_BRD_DEP,CY,HR	81
PASS,PASS_BRD_DEP,CY,HU	: 
PASS,PASS_BRD_DEP,CY,IE	: 
PASS,PASS_BRD_DEP,CY,IT	: 
PASS,PASS_BRD_DEP,CY,LT	16985
PASS,PASS_BRD_DEP,CY,LU	142
PASS,PASS_BRD_DEP,CY,LV	6960
PASS,PASS_BRD_DEP,CY,MT	39055
PASS,PASS_BRD_DEP,CY,NL	: 
PASS,PASS_BRD_DEP,CY,PL	: 
PASS,PASS_BRD_DEP,CY,PT	8
PASS,PASS_BRD_DEP,CY,RO	: 
PASS,PASS_BRD_DEP,CY,SE	: 
PASS,PASS_BRD_DEP,CY,SI	: 
PASS,PASS_BRD_DEP,CY,SK	7148
PASS,PASS_BRD_DEP,CY,UK	1147501
PASS,PASS_BRD_DEP,CZ,AT	: 
PASS,PASS_BRD_DEP,CZ,BE	148444
PASS,PASS_BRD_DEP,CZ,BG	105881
PASS,PASS_BRD_DEP,CZ,CY	8956
PASS,PASS_BRD_DEP,CZ,DE	: 
PASS,PASS_BRD_DEP,CZ,DK	99169
PASS,PASS_BRD_DEP,CZ,EA	: 
PASS,PASS_BRD_DEP,CZ,EE	: 
PASS,PASS_BRD_DEP,CZ,EL	335680
PASS,PASS_BRD_DEP,CZ,ES	314682
PASS,PASS_BRD_DEP,CZ,EU15	: 
PASS,PASS_BRD_DEP,CZ,EU25	: 
PASS,PASS_BRD_DEP,CZ,EU27	: 
PASS,PASS_BRD_DEP,CZ,EU28	: 
PASS,PASS_BRD_DEP,CZ,FI	105821
PASS,PASS_BRD_DEP,CZ,FR	439323
PASS,PASS_BRD_DEP,CZ,HR	25726
PASS,PASS_BRD_DEP,CZ,HU	: 
PASS,PASS_BRD_DEP,CZ,IE	: 
PASS,PASS_BRD_DEP,CZ,IT	: 
PASS,PASS_BRD_DEP,CZ,LT	6717
PASS,PASS_BRD_DEP,CZ,LU	168
PASS,PASS_BRD_DEP,CZ,LV	16437
PASS,PASS_BRD_DEP,CZ,MT	8357
PASS,PASS_BRD_DEP,CZ,NL	: 
PASS,PASS_BRD_DEP,CZ,PL	: 
PASS,PASS_BRD_DEP,CZ,PT	45981
PASS,PASS_BRD_DEP,CZ,RO	: 
PASS,PASS_BRD_DEP,CZ,SE	: 
PASS,PASS_BRD_DEP,CZ,SI	5250
PASS,PASS_BRD_DEP,CZ,SK	33042
PASS,PASS_BRD_DEP,CZ,UK	750219
PASS,PASS_BRD_DEP,DE,AT	: 
PASS,PASS_BRD_DEP,DE,BE	783298
PASS,PASS_BRD_DEP,DE,BG	709283
PASS,PASS_BRD_DEP,DE,CY	102269
PASS,PASS_BRD_DEP,DE,CZ	: 
PASS,PASS_BRD_DEP,DE,DK	1390241
PASS,PASS_BRD_DEP,DE,EA	: 
PASS,PASS_BRD_DEP,DE,EE	: 
PASS,PASS_BRD_DEP,DE,EL	2530961
PASS,PASS_BRD_DEP,DE,ES	12333231
PASS,PASS_BRD_DEP,DE,EU15	: 
PASS,PASS_BRD_DEP,DE,EU25	: 
